family,disorder_strength_over_coupling,dominant_regime,dominant_fraction,record_count,fraction_coherent-dominated,fraction_dephasing-assisted,fraction_localized-by-disorder,fraction_loss-dominated,fraction_strongly-damped,fraction_mixed-crossover
bottleneck,0.00,coherent-dominated,0.5,128,0.5,0.375,0.0,0.0,0.0,0.125
bottleneck,0.30,coherent-dominated,0.5625,128,0.5625,0.390625,0.0,0.0,0.0,0.046875
bottleneck,0.60,coherent-dominated,0.484375,128,0.484375,0.4140625,0.0,0.0,0.0,0.1015625
bottleneck,0.90,coherent-dominated,0.4375,128,0.4375,0.375,0.0,0.0,0.0,0.1875
bottleneck,1.20,dephasing-assisted,0.625,128,0.25,0.625,0.0,0.0,0.0,0.125
chain,0.00,coherent-dominated,0.6666666666666666,144,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
chain,0.30,coherent-dominated,0.5763888888888888,144,0.5763888888888888,0.3333333333333333,0.0,0.0,0.0,0.09027777777777778
chain,0.60,coherent-dominated,0.4791666666666667,144,0.4791666666666667,0.4097222222222222,0.0,0.0,0.0,0.1111111111111111
chain,0.90,dephasing-assisted,0.5069444444444444,144,0.4166666666666667,0.5069444444444444,0.0,0.0,0.0,0.0763888888888889
chain,1.20,dephasing-assisted,0.5069444444444444,144,0.3680555555555556,0.5069444444444444,0.0,0.0,0.0,0.125
clustered,0.00,coherent-dominated,0.5,128,0.5,0.375,0.0,0.0,0.0,0.125
clustered,0.30,coherent-dominated,0.5625,128,0.5625,0.390625,0.0,0.0,0.0,0.046875
clustered,0.60,coherent-dominated,0.53125,128,0.53125,0.3828125,0.0,0.0,0.0,0.0859375
clustered,0.90,coherent-dominated,0.4296875,128,0.4296875,0.375,0.0,0.0,0.0,0.1953125
clustered,1.20,dephasing-assisted,0.5625,128,0.28125,0.5625,0.0,0.0,0.0,0.15625
complete,0.00,dephasing-assisted,1.0,48,0.0,1.0,0.0,0.0,0.0,0.0
complete,0.30,dephasing-assisted,1.0,48,0.0,1.0,0.0,0.0,0.0,0.0
complete,0.60,dephasing-assisted,0.9791666666666666,48,0.020833333333333332,0.9791666666666666,0.0,0.0,0.0,0.0
complete,0.90,dephasing-assisted,0.9583333333333334,48,0.041666666666666664,0.9583333333333334,0.0,0.0,0.0,0.0
complete,1.20,dephasing-assisted,0.8958333333333334,48,0.10416666666666667,0.8958333333333334,0.0,0.0,0.0,0.0
modular_two_community,0.00,dephasing-assisted,0.6974789915966386,1904,0.20168067226890757,0.6974789915966386,0.0,0.0,0.0,0.10084033613445378
modular_two_community,0.30,dephasing-assisted,0.7111344537815126,1904,0.19380252100840337,0.7111344537815126,0.0,0.0,0.0,0.09506302521008403
modular_two_community,0.60,dephasing-assisted,0.710609243697479,1904,0.19432773109243698,0.710609243697479,0.0,0.0,0.0,0.09506302521008403
modular_two_community,0.90,dephasing-assisted,0.7011554621848739,1904,0.18592436974789917,0.7011554621848739,0.0,0.0,0.0,0.11292016806722689
modular_two_community,1.20,dephasing-assisted,0.7127100840336135,1904,0.19432773109243698,0.7127100840336135,0.0,0.0,0.0,0.09296218487394958
ring,0.00,dephasing-assisted,0.5,96,0.5,0.5,0.0,0.0,0.0,0.0
ring,0.30,dephasing-assisted,0.5,96,0.5,0.5,0.0,0.0,0.0,0.0
ring,0.60,dephasing-assisted,0.5104166666666666,96,0.4479166666666667,0.5104166666666666,0.0,0.0,0.0,0.041666666666666664
ring,0.90,dephasing-assisted,0.4791666666666667,96,0.375,0.4791666666666667,0.0,0.0,0.0,0.14583333333333334
ring,1.20,dephasing-assisted,0.5,96,0.3125,0.5,0.0,0.0,0.0,0.1875
sierpinski_carpet_like,0.00,coherent-dominated,0.5555555555555556,144,0.5555555555555556,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111
sierpinski_carpet_like,0.30,coherent-dominated,0.4930555555555556,144,0.4930555555555556,0.3263888888888889,0.0,0.0,0.0,0.18055555555555555
sierpinski_carpet_like,0.60,dephasing-assisted,0.4027777777777778,144,0.3819444444444444,0.4027777777777778,0.0,0.0,0.0,0.2152777777777778
sierpinski_carpet_like,0.90,dephasing-assisted,0.5208333333333334,144,0.3194444444444444,0.5208333333333334,0.0,0.0,0.0,0.1597222222222222
sierpinski_carpet_like,1.20,dephasing-assisted,0.5833333333333334,144,0.2638888888888889,0.5833333333333334,0.0,0.0,0.0,0.1527777777777778
sierpinski_gasket,0.00,dephasing-assisted,0.4444444444444444,144,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111
sierpinski_gasket,0.30,coherent-dominated,0.4375,144,0.4375,0.3888888888888889,0.0,0.0,0.0,0.1736111111111111
sierpinski_gasket,0.60,dephasing-assisted,0.4652777777777778,144,0.3819444444444444,0.4652777777777778,0.0,0.0,0.0,0.1527777777777778
sierpinski_gasket,0.90,dephasing-assisted,0.5972222222222222,144,0.2708333333333333,0.5972222222222222,0.0,0.0,0.0,0.13194444444444445
sierpinski_gasket,1.20,dephasing-assisted,0.5555555555555556,144,0.24305555555555555,0.5555555555555556,0.0,0.0,0.0,0.2013888888888889
square_lattice_2d,0.00,dephasing-assisted,0.875,128,0.125,0.875,0.0,0.0,0.0,0.0
square_lattice_2d,0.30,dephasing-assisted,0.859375,128,0.1328125,0.859375,0.0,0.0,0.0,0.0078125
square_lattice_2d,0.60,dephasing-assisted,0.7890625,128,0.1640625,0.7890625,0.0,0.0,0.0,0.046875
square_lattice_2d,0.90,dephasing-assisted,0.703125,128,0.1953125,0.703125,0.0,0.0,0.0,0.1015625
square_lattice_2d,1.20,dephasing-assisted,0.6640625,128,0.234375,0.6640625,0.0,0.0,0.0,0.1015625
star,0.00,dephasing-assisted,1.0,96,0.0,1.0,0.0,0.0,0.0,0.0
star,0.30,dephasing-assisted,1.0,96,0.0,1.0,0.0,0.0,0.0,0.0
star,0.60,dephasing-assisted,0.9791666666666666,96,0.010416666666666666,0.9791666666666666,0.0,0.0,0.0,0.010416666666666666
star,0.90,dephasing-assisted,0.9166666666666666,96,0.041666666666666664,0.9166666666666666,0.0,0.0,0.0,0.041666666666666664
star,1.20,dephasing-assisted,0.8645833333333334,96,0.09375,0.8645833333333334,0.0,0.0,0.0,0.041666666666666664
